number of occurences: 6140, path segment: ('&1', 'mv')
number of occurences: 100, path segment: ('done', 'set')
number of occurences: 100, path segment: ('[', '&1')
number of occurences: 100, path segment: ('set', '&1')
number of occurences: 96, path segment: ('ALIGNER={params.aligner}', 'set')
number of occurences: 96, path segment: ('if', 'set')
number of occurences: 96, path segment: ('elif', 'set')
number of occurences: 96, path segment: ('else', 'set')
number of occurences: 96, path segment: ('fi', 'set')
number of occurences: 92, path segment: ('wget', 'awk')
number of occurences: 90, path segment: ('mv', '[')
number of occurences: 84, path segment: ('split_file={output[0]}/`basename', 'filename=`basename')
number of occurences: 84, path segment: ('$txt_file', 'filename=`basename')
number of occurences: 84, path segment: ('P', 'filename=`basename')
number of occurences: 84, path segment: ('$/d', 'filename=`basename')
number of occurences: 84, path segment: ('$split_file;', 'filename=`basename')
number of occurences: 84, path segment: ('$split_file', 'filename=`basename')
number of occurences: 82, path segment: ('sys.path[0]', 'sys.path[0]')
number of occurences: 80, path segment: ('featureCounts', 'cp')
number of occurences: 80, path segment: ('split_file={output[0]}/`basename', 'if')
number of occurences: 80, path segment: ('$txt_file', 'if')
number of occurences: 80, path segment: ('P', 'if')
number of occurences: 80, path segment: ('$/d', 'if')
number of occurences: 80, path segment: ('$split_file;', 'if')
number of occurences: 80, path segment: ('$split_file', 'if')
number of occurences: 80, path segment: ('split_file={output[0]}/`basename', 'fi')
number of occurences: 80, path segment: ('$txt_file', 'fi')
number of occurences: 80, path segment: ('P', 'fi')
number of occurences: 80, path segment: ('$/d', 'fi')
number of occurences: 80, path segment: ('$split_file;', 'fi')
number of occurences: 80, path segment: ('$split_file', 'fi')
number of occurences: 80, path segment: ('awk', 'rm')
number of occurences: 80, path segment: ('fastq-sort', 'samtools')
number of occurences: 80, path segment: ('gzip', 'awk')
number of occurences: 79, path segment: ('wget', 'gffread')
number of occurences: 79, path segment: ('gzip', 'gffread')
number of occurences: 78, path segment: ('download_eggnog_data.py', 'mkdir')
number of occurences: 78, path segment: ('fastq-dump', 'trimmomatic')
number of occurences: 78, path segment: ('&', 'trimmomatic')
number of occurences: 78, path segment: ('fastq-dump', '&')
number of occurences: 78, path segment: ('trimmomatic', '&')
number of occurences: 78, path segment: ('gffread', 'kallisto')
number of occurences: 78, path segment: ('cat', 'kallisto')
number of occurences: 78, path segment: ('rm', 'kallisto')
number of occurences: 78, path segment: ('gffread', '&')
number of occurences: 78, path segment: ('cat', '&')
number of occurences: 78, path segment: ('rm', '&')
number of occurences: 78, path segment: ('kallisto', 'kallisto')
number of occurences: 78, path segment: ('kallisto', '&')
number of occurences: 78, path segment: ('awk', 'gffread')
number of occurences: 78, path segment: ('awk', 'cat')
number of occurences: 72, path segment: ('[', 'wget')
number of occurences: 72, path segment: ('mkdir', 'wget')
number of occurences: 70, path segment: ('singularity', 'singularity')
number of occurences: 70, path segment: ('singularity', 'xvfb-run')
number of occurences: 70, path segment: ('set', 'mkdir')
number of occurences: 68, path segment: ('tar', 'nanopolish')
number of occurences: 65, path segment: ('sort', 'cp')
number of occurences: 65, path segment: ('&&', 'cp')
number of occurences: 64, path segment: ('temp.txt', 'cp')
number of occurences: 64, path segment: ('sed', 'cp')
number of occurences: 64, path segment: ('1{{print}}', 'cp')
number of occurences: 64, path segment: ('temp.txt', 'mv')
number of occurences: 64, path segment: ('sed', 'mv')
number of occurences: 64, path segment: ('1{{print}}', 'mv')
number of occurences: 64, path segment: ('sort', 'mv')
number of occurences: 64, path segment: ('&&', 'mv')
number of occurences: 64, path segment: ('wget', 'set')
number of occurences: 64, path segment: ('wget', '[')
number of occurences: 64, path segment: ('wget', 'zcat')
number of occurences: 64, path segment: ('GENOME.fasta', 'ALIGNER={params.aligner}')
number of occurences: 64, path segment: ('GENOME.fasta', '[')
number of occurences: 64, path segment: ('GENOME.fasta', 'zcat')
number of occurences: 64, path segment: ('GENOME.fasta', 'if')
number of occurences: 64, path segment: ('GENOME.fasta', 'elif')
number of occurences: 64, path segment: ('GENOME.fasta', 'else')
number of occurences: 64, path segment: ('GENOME.fasta', 'fi')
number of occurences: 64, path segment: ('GENOME.fasta', 'rm')
number of occurences: 62, path segment: ('&1', 'cp')
number of occurences: 60, path segment: ('set', 'temp.txt')
number of occurences: 60, path segment: ('set', 'sed')
number of occurences: 60, path segment: ('set', '1{{print}}')
number of occurences: 60, path segment: ('set', 'sort')
number of occurences: 60, path segment: ('set', '&&')
number of occurences: 60, path segment: ('samtools', 'java')
number of occurences: 60, path segment: ('java', 'cat')
number of occurences: 60, path segment: ('java', 'echo')
number of occurences: 60, path segment: ('java', 'awk')
number of occurences: 56, path segment: ('filename=`basename', 'mkdir')
number of occurences: 56, path segment: ('mkdir', 'cd')
number of occurences: 56, path segment: ('for', 'cd')
number of occurences: 56, path segment: ('split_file={output[0]}/`basename', 'cd')
number of occurences: 56, path segment: ('$txt_file', 'cd')
number of occurences: 56, path segment: ('P', 'cd')
number of occurences: 56, path segment: ('$/d', 'cd')
number of occurences: 56, path segment: ('$split_file;', 'cd')
number of occurences: 56, path segment: ('done', 'cd')
number of occurences: 56, path segment: ('$split_file', 'cd')
number of occurences: 56, path segment: ('sed', 'tar')
number of occurences: 54, path segment: ('bowtie2', 'cp')
number of occurences: 54, path segment: ('curl', 'zcat')
number of occurences: 54, path segment: ('curl', 'diamond')
number of occurences: 52, path segment: ('download_eggnog_data.py', 'emapper.py')
number of occurences: 52, path segment: ('samtools', 'mkdir')
number of occurences: 52, path segment: ('mkdir', 'tgt_file={input[1]}/`basename')
number of occurences: 52, path segment: ('for', 'tgt_file={input[1]}/`basename')
number of occurences: 52, path segment: ('split_file={output[0]}/`basename', 'tgt_file={input[1]}/`basename')
number of occurences: 52, path segment: ('$txt_file', 'tgt_file={input[1]}/`basename')
number of occurences: 52, path segment: ('P', 'tgt_file={input[1]}/`basename')
number of occurences: 52, path segment: ('$/d', 'tgt_file={input[1]}/`basename')
number of occurences: 52, path segment: ('$split_file;', 'tgt_file={input[1]}/`basename')
number of occurences: 52, path segment: ('done', 'tgt_file={input[1]}/`basename')
number of occurences: 52, path segment: ('$split_file', 'tgt_file={input[1]}/`basename')
number of occurences: 52, path segment: ('mkdir', 'align_file={output}/`basename')
number of occurences: 52, path segment: ('for', 'align_file={output}/`basename')
number of occurences: 52, path segment: ('split_file={output[0]}/`basename', 'align_file={output}/`basename')
number of occurences: 52, path segment: ('$txt_file', 'align_file={output}/`basename')
number of occurences: 52, path segment: ('P', 'align_file={output}/`basename')
number of occurences: 52, path segment: ('$/d', 'align_file={output}/`basename')
number of occurences: 52, path segment: ('$split_file;', 'align_file={output}/`basename')
number of occurences: 52, path segment: ('done', 'align_file={output}/`basename')
number of occurences: 52, path segment: ('$split_file', 'align_file={output}/`basename')
number of occurences: 52, path segment: ('mkdir', '$align_file')
number of occurences: 52, path segment: ('for', '$align_file')
number of occurences: 52, path segment: ('split_file={output[0]}/`basename', '$align_file')
number of occurences: 52, path segment: ('$txt_file', '$align_file')
number of occurences: 52, path segment: ('P', '$align_file')
number of occurences: 52, path segment: ('$/d', '$align_file')
number of occurences: 52, path segment: ('$split_file;', '$align_file')
number of occurences: 52, path segment: ('done', '$align_file')
number of occurences: 52, path segment: ('$split_file', '$align_file')
number of occurences: 51, path segment: ('trimmomatic', 'fastqc')
number of occurences: 50, path segment: ('cd', '&1')
number of occurences: 50, path segment: ('for', '&1')
number of occurences: 50, path segment: ('done', '&1')
number of occurences: 48, path segment: ('samtools', 'multiqc')
number of occurences: 48, path segment: ('samtools', 'rm')
number of occurences: 48, path segment: ('bismark', 'samtools')
number of occurences: 48, path segment: ('samtools', 'SNPsplit')
number of occurences: 48, path segment: ('&1', 'Rscript')
number of occurences: 48, path segment: ('Rscript', 'cp')
number of occurences: 41, path segment: ('wget', 'cat')
number of occurences: 40, path segment: ('featureCounts', 'mkdir')
number of occurences: 40, path segment: ('featureCounts', 'multiqc')
number of occurences: 40, path segment: ('featureCounts', 'rm')
number of occurences: 40, path segment: ('hmmscan', 'sh')
number of occurences: 40, path segment: ('xvfb-run', 'singularity')
number of occurences: 40, path segment: ('xvfb-run', 'xvfb-run')
number of occurences: 40, path segment: ('cp', 'cd')
number of occurences: 40, path segment: ('cd', 'bismark')
number of occurences: 40, path segment: ('fastq-sort', 'STAR')
number of occurences: 40, path segment: ('samtools', 'umi_tools')
number of occurences: 40, path segment: ('samtools', 'twoBitToFa')
number of occurences: 40, path segment: ('twoBitToFa', 'cat')
number of occurences: 40, path segment: ('twoBitToFa', 'echo')
number of occurences: 40, path segment: ('twoBitToFa', 'awk')
number of occurences: 39, path segment: ('&', 'fastqc')
number of occurences: 39, path segment: ('trimmomatic', 'kallisto')
number of occurences: 39, path segment: ('gzip', 'cat')
number of occurences: 39, path segment: ('gzip', 'rm')
number of occurences: 39, path segment: ('gffread', 'gffread')
number of occurences: 39, path segment: ('gffread', 'cat')
number of occurences: 39, path segment: ('gffread', 'rm')
number of occurences: 37, path segment: ('qiime', 'qiime')
number of occurences: 36, path segment: ('sed', 'set')
number of occurences: 36, path segment: ('sed', 'stdbuf')
number of occurences: 36, path segment: ('stdbuf', 'mothur')
number of occurences: 36, path segment: ('mothur', 'FrameBot')
number of occurences: 36, path segment: ('FrameBot', 'mafft')
number of occurences: 36, path segment: ('mafft', 'mothur')
number of occurences: 36, path segment: ('sed', 'mothur')
number of occurences: 36, path segment: ('&1', 'sed')
number of occurences: 36, path segment: ('cd', 'wget')
number of occurences: 36, path segment: ('for', 'wget')
number of occurences: 36, path segment: ('done', 'wget')
number of occurences: 33, path segment: ('rm', 'rm')
number of occurences: 32, path segment: ('python', 'hmmscan')
number of occurences: 32, path segment: ('&1', 'tar')
number of occurences: 32, path segment: ('wget', '&1')
number of occurences: 32, path segment: ('wget', 'ALIGNER={params.aligner}')
number of occurences: 32, path segment: ('wget', 'GENOME.GTF')
number of occurences: 32, path segment: ('wget', 'if')
number of occurences: 32, path segment: ('wget', 'elif')
number of occurences: 32, path segment: ('wget', 'else')
number of occurences: 32, path segment: ('wget', 'fi')
number of occurences: 32, path segment: ('GENOME.GTF', 'set')
number of occurences: 32, path segment: ('set', 'ALIGNER={params.aligner}')
number of occurences: 32, path segment: ('[', 'ALIGNER={params.aligner}')
number of occurences: 32, path segment: ('zcat', 'ALIGNER={params.aligner}')
number of occurences: 32, path segment: ('rm', 'ALIGNER={params.aligner}')
number of occurences: 32, path segment: ('[', '[')
number of occurences: 32, path segment: ('zcat', '[')
number of occurences: 32, path segment: ('rm', '[')
number of occurences: 32, path segment: ('set', 'zcat')
number of occurences: 32, path segment: ('[', 'zcat')
number of occurences: 32, path segment: ('zcat', 'zcat')
number of occurences: 32, path segment: ('rm', 'zcat')
number of occurences: 32, path segment: ('set', 'if')
number of occurences: 32, path segment: ('[', 'if')
number of occurences: 32, path segment: ('zcat', 'if')
number of occurences: 32, path segment: ('rm', 'if')
number of occurences: 32, path segment: ('set', 'elif')
number of occurences: 32, path segment: ('[', 'elif')
number of occurences: 32, path segment: ('zcat', 'elif')
number of occurences: 32, path segment: ('rm', 'elif')
number of occurences: 32, path segment: ('set', 'else')
number of occurences: 32, path segment: ('[', 'else')
number of occurences: 32, path segment: ('zcat', 'else')
number of occurences: 32, path segment: ('rm', 'else')
number of occurences: 32, path segment: ('set', 'fi')
number of occurences: 32, path segment: ('[', 'fi')
number of occurences: 32, path segment: ('zcat', 'fi')
number of occurences: 32, path segment: ('rm', 'fi')
number of occurences: 32, path segment: ('set', 'rm')
number of occurences: 32, path segment: ('[', 'rm')
number of occurences: 32, path segment: ('zcat', 'rm')
number of occurences: 32, path segment: ('qualimap', 'multiqc')
number of occurences: 30, path segment: ('cd', 'singularity')
number of occurences: 30, path segment: ('tar', 'singularity')
number of occurences: 30, path segment: ('cd', 'xvfb-run')
number of occurences: 30, path segment: ('tar', 'xvfb-run')
number of occurences: 30, path segment: ('&1', 'temp.txt')
number of occurences: 30, path segment: ('&1', '1{{print}}')
number of occurences: 30, path segment: ('&1', 'sort')
number of occurences: 30, path segment: ('&1', '&&')
number of occurences: 28, path segment: ('filename=`basename', 'for')
number of occurences: 28, path segment: ('filename=`basename', 'filename=`basename')
number of occurences: 28, path segment: ('filename=`basename', 'if')
number of occurences: 28, path segment: ('filename=`basename', 'fi')
number of occurences: 28, path segment: ('filename=`basename', 'done')
number of occurences: 28, path segment: ('mkdir', 'export')
number of occurences: 28, path segment: ('for', 'export')
number of occurences: 28, path segment: ('filename=`basename', 'export')
number of occurences: 28, path segment: ('done', 'export')
number of occurences: 28, path segment: ('for', 'find')
number of occurences: 28, path segment: ('filename=`basename', 'find')
number of occurences: 28, path segment: ('done', 'find')
number of occurences: 28, path segment: ('mkdir', 'parallel')
number of occurences: 28, path segment: ('for', 'parallel')
number of occurences: 28, path segment: ('filename=`basename', 'parallel')
number of occurences: 28, path segment: ('done', 'parallel')
number of occurences: 28, path segment: ('export', 'mkdir')
number of occurences: 28, path segment: ('parallel', 'mkdir')
number of occurences: 28, path segment: ('export', 'for')
number of occurences: 28, path segment: ('parallel', 'for')
number of occurences: 28, path segment: ('export', 'filename=`basename')
number of occurences: 28, path segment: ('find', 'filename=`basename')
number of occurences: 28, path segment: ('parallel', 'filename=`basename')
number of occurences: 28, path segment: ('export', 'if')
number of occurences: 28, path segment: ('find', 'if')
number of occurences: 28, path segment: ('parallel', 'if')
number of occurences: 28, path segment: ('export', 'fi')
number of occurences: 28, path segment: ('find', 'fi')
number of occurences: 28, path segment: ('parallel', 'fi')
number of occurences: 28, path segment: ('export', 'done')
number of occurences: 28, path segment: ('find', 'done')
number of occurences: 28, path segment: ('parallel', 'done')
number of occurences: 28, path segment: ('for', 'tar')
number of occurences: 28, path segment: ('split_file={output[0]}/`basename', 'tar')
number of occurences: 28, path segment: ('$txt_file', 'tar')
number of occurences: 28, path segment: ('P', 'tar')
number of occurences: 28, path segment: ('$/d', 'tar')
number of occurences: 28, path segment: ('$split_file;', 'tar')
number of occurences: 28, path segment: ('done', 'tar')
number of occurences: 28, path segment: ('$split_file', 'tar')
number of occurences: 28, path segment: ('Rscript', '&1')
number of occurences: 27, path segment: ('wget', 'python')
number of occurences: 27, path segment: ('unzip', 'python')
number of occurences: 27, path segment: ('.format(METAXCAN_HASH)', 'python')
number of occurences: 26, path segment: ('download_eggnog_data.py', 'mv')
number of occurences: 26, path segment: ('download_eggnog_data.py', 'cp')
number of occurences: 26, path segment: ('download_eggnog_data.py', 'rm')
number of occurences: 26, path segment: ('bowtie2', 'mkdir')
number of occurences: 24, path segment: ('mkdir', 'multiqc')
number of occurences: 24, path segment: ('bowtie2', 'multiqc')
number of occurences: 24, path segment: ('mv', 'multiqc')
number of occurences: 24, path segment: ('bowtie2', 'rm')
number of occurences: 24, path segment: ('fastqc', 'multiqc')
number of occurences: 24, path segment: ('2', '&1')
number of occurences: 24, path segment: ('2', 'cp')
number of occurences: 24, path segment: ('merge_metaphlan_tables.py', 'cp')
number of occurences: 24, path segment: ('qiime', 'Rscript')
number of occurences: 24, path segment: ('qiime', 'Rlog.txt')
number of occurences: 24, path segment: ('Rscript', 'rm')
number of occurences: 24, path segment: ('java', 'perl')
number of occurences: 24, path segment: ('croo', 'cat')
number of occurences: 24, path segment: ('&1;', 'cat')
number of occurences: 24, path segment: ('coverage2cytosine', 'Rscript')
number of occurences: 20, path segment: ('&1', '[')
number of occurences: 20, path segment: ('cp', 'bismark_genome_preparation')
number of occurences: 20, path segment: ('fastqc', 'umi_tools')
number of occurences: 20, path segment: ('umi_tools', 'cutadapt')
number of occurences: 20, path segment: ('cutadapt', 'cutadapt')
number of occurences: 20, path segment: ('cutadapt', 'fastq-sort')
number of occurences: 20, path segment: ('STAR', 'STAR')
number of occurences: 20, path segment: ('STAR', 'umi_tools')
number of occurences: 20, path segment: ('umi_tools', 'samtools')
number of occurences: 20, path segment: ('fastqc', 'fastq-sort')
number of occurences: 19, path segment: ('echo', 'rm')
number of occurences: 18, path segment: ('gunzip', 'zcat')
number of occurences: 18, path segment: ('gunzip', 'diamond')
number of occurences: 18, path segment: ('samtools', '&1')
number of occurences: 18, path segment: ('stdbuf', 'set')
number of occurences: 18, path segment: ('stdbuf', 'stdbuf')
number of occurences: 18, path segment: ('set', 'mothur')
number of occurences: 17, path segment: ('if', 'rm')
number of occurences: 17, path segment: ('else', 'rm')
number of occurences: 17, path segment: ('fi', 'rm')
number of occurences: 16, path segment: ('(', 'samtools')
number of occurences: 16, path segment: (')', 'samtools')
number of occurences: 16, path segment: ('samtools', 'python')
number of occurences: 16, path segment: ('samtools', 'pigz')
number of occurences: 16, path segment: ('pigz', 'python')
number of occurences: 16, path segment: ('STAR', 'geneBody_coverage.py')
number of occurences: 16, path segment: ('geneBody_coverage.py', 'multiqc')
number of occurences: 16, path segment: ('geneBody_coverage.py', 'trimmed')
number of occurences: 16, path segment: ('samtools', 'geneBody_coverage.py')
number of occurences: 16, path segment: ('temp.txt', '[')
number of occurences: 16, path segment: ('sed', '[')
number of occurences: 16, path segment: ('1{{print}}', '[')
number of occurences: 16, path segment: ('sort', '[')
number of occurences: 16, path segment: ('&&', '[')
number of occurences: 16, path segment: ('temp.txt', 'mkdir')
number of occurences: 16, path segment: ('1{{print}}', 'mkdir')
number of occurences: 16, path segment: ('sort', 'mkdir')
number of occurences: 16, path segment: ('&&', 'mkdir')
number of occurences: 16, path segment: ('2', 'metaphlan')
number of occurences: 16, path segment: ('ALIGNER={params.aligner}', 'ALIGNER={params.aligner}')
number of occurences: 16, path segment: ('GENOME.GTF', 'ALIGNER={params.aligner}')
number of occurences: 16, path segment: ('if', 'ALIGNER={params.aligner}')
number of occurences: 16, path segment: ('elif', 'ALIGNER={params.aligner}')
number of occurences: 16, path segment: ('else', 'ALIGNER={params.aligner}')
number of occurences: 16, path segment: ('fi', 'ALIGNER={params.aligner}')
number of occurences: 16, path segment: ('ALIGNER={params.aligner}', '[')
number of occurences: 16, path segment: ('GENOME.GTF', '[')
number of occurences: 16, path segment: ('if', '[')
number of occurences: 16, path segment: ('elif', '[')
number of occurences: 16, path segment: ('else', '[')
number of occurences: 16, path segment: ('fi', '[')
