operator, count by repo, count by rule, total count
coverm, 1, 3, 3
crimson, 1, 3, 3
plot-vcfstats, 1, 3, 3
~/bin/SEACR/SEACR_1.3.sh, 1, 3, 3
fasterq-dump, 1, 3, 3
src/plot_auc_eachcci.sh, 1, 3, 3
src/plot_auc_merge.sh, 1, 3, 3
src/plot_aucpr_eachcci.sh, 1, 3, 3
src/plot_aucpr_merge.sh, 1, 3, 3
src/plot_f_eachcci.sh, 1, 3, 3
src/plot_f_merge.sh, 1, 3, 3
src/plot_mcc_eachcci.sh, 1, 3, 3
src/plot_mcc_merge.sh, 1, 3, 3
src/plot_fpr_eachcci.sh, 1, 3, 3
src/plot_fpr_merge.sh, 1, 3, 3
src/plot_fnr_eachcci.sh, 1, 3, 3
src/plot_fnr_merge.sh, 1, 3, 3
src/plot_pr_eachcci.sh, 1, 3, 3
src/plot_pr_merge.sh, 1, 3, 3
src/plot_time_merge.sh, 1, 3, 3
src/plot_memory_merge.sh, 1, 3, 3
wb_command, 1, 3, 3
AverageImages, 1, 3, 3
../bcmap, 1, 3, 3
Fasta_to_Scaffolds2Bin.sh, 1, 3, 3
flair.py, 1, 3, 3
isoseq3, 1, 2, 2
filter_non_conversion, 1, 2, 2
scripts/rename_multifasta_prefix.py, 1, 2, 2
contigtax, 1, 2, 2
hmmscan, 1, 2, 2
riana, 1, 2, 2
/usr/local/bin/HiC-Pro_3.1.0/bin/utils/sparseToDense.py, 1, 2, 2
PairSeq.py, 1, 2, 2
ParseHeaders.py, 1, 2, 2
beaglew, 1, 2, 2
shuf, 1, 2, 2
bbduk.sh, 1, 2, 2
Trinity, 1, 2, 2
bzcat, 1, 2, 2
tombo, 1, 2, 2
scripts/summarize-table.py, 1, 2, 2
BERGSTROEM2020/{wildcards.population}/{wildcards.individual}_mt.sam, 1, 2, 2
multiBigwigSummary, 1, 2, 2
plotHeatmap, 1, 2, 2
nanoQC, 1, 2, 2
PYTHONPATH={INDIC_NLP}, 1, 2, 2
vulcan, 1, 2, 2
faSize, 1, 2, 2
fcoolpup.py, 1, 2, 2
impute2, 1, 2, 2
src/groundtruth.sh, 1, 2, 2
src/plot_groundtruth.sh, 1, 2, 2
src/previous_sctensor.sh, 1, 2, 2
src/sctensor.sh, 1, 2, 2
src/roc_auc_bin_f.sh, 1, 2, 2
src/plot_roc_auc_f.sh, 1, 2, 2
src/plot_prc_aucpr_mcc.sh, 1, 2, 2
src/plot_tr.sh, 1, 2, 2
blastn, 1, 2, 2
t_coffee, 1, 2, 2
cas_data, 1, 2, 2
workflow/scripts/expression_analysis/extractFromBAM_RegionBed_WPS_Cov.py, 1, 2, 2
nextclade, 1, 2, 2
xargs, 1, 2, 2
md5sum, 1, 2, 2
read_fast5_basecaller.py, 1, 2, 2
Genrich, 1, 2, 2
scripts/rcbbc, 1, 2, 2
rsync, 1, 2, 2
rio, 1, 2, 2
ktImportText, 1, 2, 2
CAT, 1, 2, 2
configureStrelkaSomaticWorkflow.py, 1, 2, 2
cnvkit.py, 1, 2, 2
medaka, 1, 2, 2
abyss-pe, 1, 2, 2
tckmap, 1, 2, 2
rgi, 1, 2, 2
rose-dt, 1, 2, 2
rose-dt-plot.py, 1, 2, 2
\t{BISMARK}, 1, 2, 2
/biodata/irg/grp_stich/Hv-DRR-pop/bin/bismark_v0.20.1/Bismark/bam2nuc, 1, 2, 2
/biodata/irg/grp_stich/Hv-DRR-pop/bin/bismark_v0.20.1/Bismark/coverage2cytosine, 1, 2, 2
1_trimmed_reads/cat, 1, 2, 2
fpython, 1, 2, 2
[[, 1, 2, 2
iu-gen-configs, 1, 1, 1
iu-filter-quality-minoche, 1, 1, 1
ccs, 1, 1, 1
lima, 1, 1, 1
Codes/count_sequence_patterns.py, 1, 1, 1
Codes/make_fate_network.py, 1, 1, 1
Codes/cluster_bootstraps.py, 1, 1, 1
Codes/measure_recurrence_prevalence.py, 1, 1, 1
Codes/find_recurrent_quartets.sh, 1, 1, 1
Codes/measure_recurrence_magnitude.sh, 1, 1, 1
scripts/cmseq.sh, 1, 1, 1
kneaddata_database, 1, 1, 1
gff2bed, 1, 1, 1
prerapsearch, 1, 1, 1
hmmpress, 1, 1, 1
pizzly, 1, 1, 1
parallel_jobs=$((, 1, 1, 1
bit-summarize-assembly, 1, 1, 1
amrfinder_update, 1, 1, 1
download-antismash-databases, 1, 1, 1
ascp, 1, 1, 1
bamCompare, 1, 1, 1
AssemblePairs.py, 1, 1, 1
CollapseSeq.py, 1, 1, 1
SplitSeq.py, 1, 1, 1
prepare_receptor4.py, 1, 1, 1
obabel, 1, 1, 1
fcd, 1, 1, 1
germlinew, 1, 1, 1
gzvcf2plink, 1, 1, 1
maskSegments, 1, 1, 1
ibd2degree, 1, 1, 1
shred, 1, 1, 1
tiddit, 1, 1, 1
$ANNOTSV/bin/AnnotSV, 1, 1, 1
SURVIVOR, 1, 1, 1
samplot, 1, 1, 1
demuxlet, 1, 1, 1
pedsim, 1, 1, 1
mysql, 1, 1, 1
qapa, 1, 1, 1
blastp, 1, 1, 1
filter_blast_m8.py, 1, 1, 1
./Parsnp-Linux64-v1.2/parsnp, 1, 1, 1
harvesttools-Linux64-v1.2/harvesttools, 1, 1, 1
./bwa-0.7.17/bwa, 1, 1, 1
$2\, 1, 1, 1
frm, 1, 1, 1
scp, 1, 1, 1
mapp=, 1, 1, 1
degapseq, 1, 1, 1
else, 1, 1, 1
swarm, 1, 1, 1
Morphology_main.py, 1, 1, 1
gtf2bed.pl, 1, 1, 1
inner_distance.py, 1, 1, 1
junction_saturation.py, 1, 1, 1
/c8000xd3/rnaseq-heath/bin/samtools, 1, 1, 1
lumpyexpress, 1, 1, 1
raven, 1, 1, 1
deepsignal, 1, 1, 1
racon_wrapper, 1, 1, 1
docker, 1, 1, 1
scripts/count-circrna.py, 1, 1, 1
scripts/parse-pileup.py, 1, 1, 1
bmtagger.sh, 1, 1, 1
bbmap.sh, 1, 1, 1
grep, 1, 1, 1
src/ensemble_prediction_pipeline/ensemble.sh, 1, 1, 1
yak, 1, 1, 1
mapped/{wildcards.sample}.filtered.bam, 1, 1, 1
multiBamSummary, 1, 1, 1
plotCorrelation, 1, 1, 1
plotCoverage, 1, 1, 1
./, 1, 1, 1
shell:\t, 1, 1, 1
lftp, 1, 1, 1
CrossMap.py, 1, 1, 1
coco, 1, 1, 1
log/{wildcards.sample}_freddie_isoforms.err, 1, 1, 1
log/{wildcards.sample}_freddie_isoforms_hpv.err, 1, 1, 1
unset, 1, 1, 1
megahit, 1, 1, 1
plotFingerprint, 1, 1, 1
NanoFilt, 1, 1, 1
scripts/mosdepth_to_x_coverage.py, 1, 1, 1
tantan, 1, 1, 1
fastq-dump, 1, 1, 1
bedops, 1, 1, 1
kb, 1, 1, 1
nanoq, 1, 1, 1
graphmap, 1, 1, 1
scripts/Chunk_dataframe.sh, 1, 1, 1
CPC2/bin/CPC2.py, 1, 1, 1
transeq, 1, 1, 1
scripts/tmhmm.sh, 1, 1, 1
scripts/parallel_gmap.sh, 1, 1, 1
convert, 1, 1, 1
FrameBot, 1, 1, 1
raxmlHPC, 1, 1, 1
{params.ilastik_loc}, 1, 1, 1
v1.10.0/bio/cooltools/genome/gc, 1, 1, 1
tophat2, 1, 1, 1
src/cellcellsimulate.sh, 1, 1, 1
src/{wildcards.othermethod}.sh, 1, 1, 1
src/plot_tr_eachcci.sh, 1, 1, 1
src/preprocess_{wildcards.sample}.sh, 1, 1, 1
src/labelpermutation.sh, 1, 1, 1
src/labelpermutation2.sh, 1, 1, 1
src/halpern.sh, 1, 1, 1
src/cabelloaguilar.sh, 1, 1, 1
src/report.sh, 1, 1, 1
af, 1, 1, 1
groot, 1, 1, 1
ciftify_clean_img, 1, 1, 1
geneBody_coverage.py, 1, 1, 1
kraken2-inspect, 1, 1, 1
krakefaction, 1, 1, 1
cd-hit-est, 1, 1, 1
metabat, 1, 1, 1
blast2rma, 1, 1, 1
assign_genome_properties.pl, 1, 1, 1
pairtools, 1, 1, 1
pairix, 1, 1, 1
classifier, 1, 1, 1
shell:#has, 1, 1, 1
merger, 1, 1, 1
kraken-biom, 1, 1, 1
./helper_scripts/download_known_PETases.py, 1, 1, 1
hmmbuild, 1, 1, 1
./helper_scripts/run_hmm_search_iteratively.py, 1, 1, 1
PLEK, 1, 1, 1
evaluate, 1, 1, 1
blat, 1, 1, 1
slim, 1, 1, 1
lastdb, 1, 1, 1
last-train, 1, 1, 1
MultiplyImages, 1, 1, 1
AverageAffineTransformNoRigid, 1, 1, 1
fbowtie2-build, 1, 1, 1
jellyfish, 1, 1, 1
$each;, 1, 1, 1
c3d, 1, 1, 1
polca.sh, 1, 1, 1
busco, 1, 1, 1
smoove, 1, 1, 1
nextstrain, 1, 1, 1
./bin/notify-on-deploy, 1, 1, 1
usearch, 1, 1, 1
centrifuge, 1, 1, 1
ktImportTaxonomy, 1, 1, 1
clipping_profile.py, 1, 1, 1
read_GC.py, 1, 1, 1
scripts/trim_bcs.sh, 1, 1, 1
R_LIBS=;, 1, 1, 1
pilon, 1, 1, 1
shell:rm, 1, 1, 1
obo_to_tab.pl, 1, 1, 1
&2, 1, 1, 1
merge-pairs.sh, 1, 1, 1
anvi-interactive, 1, 1, 1
\t./scripts/trim_reads.sh, 1, 1, 1
unzip, 1, 1, 1
scripts_dir+/center_and_widen.py, 1, 1, 1
scripts_dir+/center_and_widen_bed.py, 1, 1, 1
scanMotifGenomeWide.pl, 1, 1, 1
scripts_dir+/statistics.py, 1, 1, 1
scripts_dir+/prc.py, 1, 1, 1
git, 1, 1, 1
isONclust2, 1, 1, 1
basename, 1, 1, 1
metaphlan, 1, 1, 1
merge_metaphlan_tables.py, 1, 1, 1
pdftoppm, 1, 1, 1
ppx, 1, 1, 1
thermorawfileparser, 1, 1, 1
gatk-framework, 1, 1, 1
./make-acc-taxid-mapping.py, 1, 1, 1
./{input.bigBedToBed}, 1, 1, 1
shell:gatk, 1, 1, 1
(, 1, 1, 1
shell:scripts/pipeline2.0/MIPstats.py, 1, 1, 1
SNPsplit, 1, 1, 1
julia, 1, 1, 1
function, 1, 1, 1
jgi_summarize_bam_contig_depths, 1, 1, 1
cut_up_fasta.py, 1, 1, 1
concoct_coverage_table.py, 1, 1, 1
merge_cutup_clustering.py, 1, 1, 1
bowtie-build, 1, 1, 1
scripts/SrrMunch2.sh, 1, 1, 1
scripts/derep.sh, 1, 1, 1
scripts/de-novo.sh, 1, 1, 1
scripts/q2_export.sh, 1, 1, 1
lofreq, 1, 1, 1
./gffread/gffread, 1, 1, 1
py.test, 1, 1, 1
qc2tsv, 1, 1, 1
virsorter, 1, 1, 1
scripts/gtdbtk-to-lineages-csv.py, 1, 1, 1
scripts/find-oddities.py, 1, 1, 1
scripts/find-oddities-examine.py, 1, 1, 1
sickle, 1, 1, 1
metaphlan2.py, 1, 1, 1
calculate-tin.py, 1, 1, 1
matUtils, 1, 1, 1
clumpify.sh, 1, 1, 1
readlength.sh, 1, 1, 1
hmmsearch, 1, 1, 1
kaiju, 1, 1, 1
addTaxonNames, 1, 1, 1
get_SJs_from_gtf, 1, 1, 1
TranscriptClean, 1, 1, 1
talon_label_reads, 1, 1, 1
talon_filter_transcripts, 1, 1, 1
talon_abundance, 1, 1, 1
talon_create_GTF, 1, 1, 1
sqanti3_qc.py, 1, 1, 1
scripts/toconsensus.py, 1, 1, 1
pistis, 1, 1, 1
fasta-splitter, 1, 1, 1
tools/map2ref.sh, 1, 1, 1
tools/parse_bwa-cov.py, 1, 1, 1
tools/parse_bwa-expcov.py, 1, 1, 1
tools/parse_bwa-counts.py, 1, 1, 1
BamClipOverlap, 1, 1, 1
merge_wrapper.py, 1, 1, 1
ddrage, 1, 1, 1
./{input.rbt_bin}, 1, 1, 1
csvtk, 1, 1, 1
sequenza-utils, 1, 1, 1
fasterq-dump.2.11.0, 1, 1, 1
reformat.sh, 1, 1, 1
hisat2, 1, 1, 1
ipython3, 1, 1, 1
fslmaths, 1, 1, 1
reg_resample, 1, 1, 1
flash, 1, 1, 1
workflow/plantRNAconcat.pl, 1, 1, 1
artic_make_depth_mask, 1, 1, 1
100, 1, 1, 1
rnaspades.py, 1, 1, 1
metaspades.py, 1, 1, 1
run_MaxBin.pl, 1, 1, 1
download-db.sh, 1, 1, 1
checkm, 1, 1, 1
shapeit, 1, 1, 1
rfmix, 1, 1, 1
inStrain, 1, 1, 1
inkscape, 1, 1, 1
rsem-calculate-expression, 1, 1, 1
[^, 1, 1, 1
prefetch, 1, 1, 1
islandpath, 1, 1, 1
scripts/phispy/PhiSpy.py, 1, 1, 1
mlst, 1, 1, 1
gsnap, 1, 1, 1
comm, 1, 1, 1
mash, 1, 1, 1
DEDUPLICATE_BISMARK, 1, 1, 1
atropos, 1, 1, 1
raxmlHPC-PTHREADS, 1, 1, 1
raxml-ng, 1, 1, 1
